What is your gender identity?,What is your race/ethnicity?,What was the highest mathematics course that you took before your current Calculus I course?,Pick the field that is closest to what you want to do after graduating. Select all that apply.,Do you plan to take Calculus II?,"""If you answered no or maybe, why not?"""
"""Cis-gender woman (female at birth, identify as a woman)""",2 or more races,Other:,Biology,No,My grade in Calculus I was not good enough to continue to Calculus II.
Gender fluid (gender identity and/or expression varies over time),Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Environmental science/studies,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Other:,Engineering/architecture,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Medicine/health,No,I changed my major and now do not need to take Calculus II.
Intersex (have a combination of male and female biological traits),Other:,Algebra 2 or College Algebra,English/communication,No,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
Intersex (have a combination of male and female biological traits),White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Business/finance,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Other:,Mathematics,No,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus BC or equivalent,Physics,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
Agender (don't identify as any gender),White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Economics,No,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Social sciences,Yes,I changed my major and now do not need to take Calculus II.
Intersex (have a combination of male and female biological traits),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Other:,Engineering/architecture,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Other:,Business/finance,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus BC or equivalent,Engineering/architecture,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Philosophy,Yes,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Algebra 2 or College Algebra,Mathematics,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,English/communication,Yes,My experience in Calculus I made me decide not to take Calculus II.
Gender fluid (gender identity and/or expression varies over time),White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Environmental science/studies,No,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Hispanic/Latinx,Other:,Earth and/or space science,No,Other:
"""Cis-gender man (male at birth, identify as a man)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus AB or equivalent,Philosophy,No,Other:
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Black/African American (non-Hispanic/Latinx),Other:,Physics,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Visual arts,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",2 or more races,Other:,Social sciences,Maybe,It is not required for my major / I have too many other courses that I need to complete.
Agender (don't identify as any gender),Asian/Asian American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Computer Science/technology,No,It is not required for my major / I have too many other courses that I need to complete.
"""Transgender woman (male at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Modern language,No,Other:
Other:,Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus AB or equivalent,Environmental science/studies,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Philosophy,No,It is not required for my major / I have too many other courses that I need to complete.
Intersex (have a combination of male and female biological traits),White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Mathematics,Yes,It is not required for my major / I have too many other courses that I need to complete.
"""Transgender woman (male at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Chemistry,Maybe,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Other:,Other:,Computer Science/technology,Maybe,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Business/finance,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Hispanic/Latinx,AP Calculus BC or equivalent,Mathematics,Maybe,It is not required for my major / I have too many other courses that I need to complete.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),2 or more races,Other:,Chemistry,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
Intersex (have a combination of male and female biological traits),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus AB or equivalent,Engineering/architecture,No,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Physics,Yes,Other:
Agender (don't identify as any gender),Hispanic/Latinx,AP Calculus AB or equivalent,Modern language,Yes,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
Gender fluid (gender identity and/or expression varies over time),Other:,Other:,Modern language,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Intersex (have a combination of male and female biological traits),Other:,AP Calculus AB or equivalent,Biology,Yes,I changed my major and now do not need to take Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Performing arts,No,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,Algebra 2 or College Algebra,Business/finance,Maybe,n/a - I am taking Calculus II.
Agender (don't identify as any gender),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Performing arts,Yes,Other:
Intersex (have a combination of male and female biological traits),White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Visual arts,No,Other:
Agender (don't identify as any gender),Other:,Pre-calculus or Trigonometry,"Social services
",Yes,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,AP Calculus BC or equivalent,Education,Yes,It is not required for my major / I have too many other courses that I need to complete.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Environmental science/studies,Yes,Other:
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,AP Calculus AB or equivalent,Biology,No,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Algebra 2 or College Algebra,Biology,No,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Earth and/or space science,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Law/government,Yes,It is not required for my major / I have too many other courses that I need to complete.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Other:,Engineering/architecture,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Transgender man (female at birth, identify as a man)""",2 or more races,Algebra 2 or College Algebra,Medicine/health,No,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Pre-calculus or Trigonometry,Performing arts,No,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Modern language,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Gender fluid (gender identity and/or expression varies over time),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Medicine/health,Yes,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,"Social services
",No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Environmental science/studies,Maybe,It is not required for my major / I have too many other courses that I need to complete.
"""Transgender man (female at birth, identify as a man)""",2 or more races,AP Calculus BC or equivalent,Physics,No,I changed my major and now do not need to take Calculus II.
Intersex (have a combination of male and female biological traits),Black/African American (non-Hispanic/Latinx),AP Calculus AB or equivalent,English/communication,Yes,Other:
"""Cis-gender woman (female at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Business/finance,Maybe,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Computer Science/technology,Yes,My experience in Calculus I made me decide not to take Calculus II.
"""Transgender man (female at birth, identify as a man)""",Other:,AP Calculus AB or equivalent,Philosophy,Yes,n/a - I am taking Calculus II.
