What is your gender identity?,What is your race/ethnicity?,What was the highest mathematics course that you took before your current Calculus I course?,Pick the field that is closest to what you want to do after graduating. Select all that apply.,Do you plan to take Calculus II?,"""If you answered no or maybe, why not?"""
Agender (don't identify as any gender),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Other:,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Other:,Physics,Maybe,It is not required for my major / I have too many other courses that I need to complete.
Gender fluid (gender identity and/or expression varies over time),2 or more races,Algebra 2 or College Algebra,Chemistry,Maybe,n/a - I am taking Calculus II.
Agender (don't identify as any gender),White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Earth and/or space science,Maybe,Other:
Intersex (have a combination of male and female biological traits),Hispanic/Latinx,AP Calculus BC or equivalent,Physics,Yes,Other:
Other:,2 or more races,AP Calculus AB or equivalent,Earth and/or space science,No,It is not required for my major / I have too many other courses that I need to complete.
Intersex (have a combination of male and female biological traits),Hispanic/Latinx,Pre-calculus or Trigonometry,Environmental science/studies,No,It is not required for my major / I have too many other courses that I need to complete.
Other:,Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Physics,No,I changed my major and now do not need to take Calculus II.
"""Transgender man (female at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Engineering/architecture,Yes,Other:
"""Transgender woman (male at birth, identify as a woman)""",2 or more races,Pre-calculus or Trigonometry,Business/finance,Maybe,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,Pre-calculus or Trigonometry,Medicine/health,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Gender fluid (gender identity and/or expression varies over time),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus AB or equivalent,Earth and/or space science,No,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,English/communication,Yes,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender woman (female at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,Education,Yes,I changed my major and now do not need to take Calculus II.
Other:,Other:,AP Calculus BC or equivalent,Mathematics,Maybe,I changed my major and now do not need to take Calculus II.
Agender (don't identify as any gender),Black/African American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Biology,Maybe,My grade in Calculus I was not good enough to continue to Calculus II.
Intersex (have a combination of male and female biological traits),Asian/Asian American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Earth and/or space science,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Gender fluid (gender identity and/or expression varies over time),2 or more races,Other:,Computer Science/technology,Maybe,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Transgender man (female at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Biology,Yes,My experience in Calculus I made me decide not to take Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Other:,AP Calculus BC or equivalent,Economics,Maybe,I changed my major and now do not need to take Calculus II.
"""Transgender man (female at birth, identify as a man)""",2 or more races,Algebra 2 or College Algebra,Chemistry,Yes,Other:
"""Cis-gender man (male at birth, identify as a man)""",2 or more races,Pre-calculus or Trigonometry,Philosophy,Maybe,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Other:,AP Calculus AB or equivalent,Economics,Maybe,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Gender fluid (gender identity and/or expression varies over time),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Social sciences,No,Other:
Other:,2 or more races,AP Calculus AB or equivalent,Law/government,No,My grade in Calculus I was not good enough to continue to Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Other:,Pre-calculus or Trigonometry,Education,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Algebra 2 or College Algebra,Environmental science/studies,Maybe,I changed my major and now do not need to take Calculus II.
Other:,Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Algebra 2 or College Algebra,Mathematics,No,It is not required for my major / I have too many other courses that I need to complete.
Intersex (have a combination of male and female biological traits),Other:,AP Calculus AB or equivalent,Philosophy,Maybe,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,Algebra 2 or College Algebra,Performing arts,No,I changed my major and now do not need to take Calculus II.
Agender (don't identify as any gender),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus BC or equivalent,Business/finance,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Cis-gender man (male at birth, identify as a man)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,Modern language,No,I changed my major and now do not need to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,AP Calculus AB or equivalent,Social sciences,Maybe,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,Algebra 2 or College Algebra,Economics,Yes,I changed my major and now do not need to take Calculus II.
Gender fluid (gender identity and/or expression varies over time),2 or more races,AP Calculus AB or equivalent,Physics,Maybe,My grade in Calculus I was not good enough to continue to Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Other:,Other:,Business/finance,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Intersex (have a combination of male and female biological traits),2 or more races,AP Calculus BC or equivalent,Environmental science/studies,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Other:,White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Earth and/or space science,Maybe,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Hispanic/Latinx,Pre-calculus or Trigonometry,Social sciences,Yes,I changed my major and now do not need to take Calculus II.
Other:,Other:,Other:,Social services,No,It is not required for my major / I have too many other courses that I need to complete.
Agender (don't identify as any gender),2 or more races,Algebra 2 or College Algebra,Modern language,Yes,Other:
"""Cis-gender woman (female at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Physics,No,It is not required for my major / I have too many other courses that I need to complete.
"""Transgender man (female at birth, identify as a man)""",2 or more races,AP Calculus BC or equivalent,Economics,Maybe,I changed my major and now do not need to take Calculus II.
Intersex (have a combination of male and female biological traits),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Computer Science/technology,Maybe,My experience in Calculus I made me decide not to take Calculus II.
"""Transgender man (female at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Social sciences,Maybe,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Transgender man (female at birth, identify as a man)""",Hispanic/Latinx,Other:,Earth and/or space science,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Agender (don't identify as any gender),Hispanic/Latinx,Other:,Medicine/health,Maybe,Other:
"""Transgender man (female at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Earth and/or space science,Yes,It is not required for my major / I have too many other courses that I need to complete.
"""Transgender woman (male at birth, identify as a woman)""",2 or more races,Pre-calculus or Trigonometry,Education,Yes,Other:
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,Other:,Modern language,No,n/a - I am taking Calculus II.
