What is your gender identity?,What is your race/ethnicity?,What was the highest mathematics course that you took before your current Calculus I course?,Pick the field that is closest to what you want to do after graduating. Select all that apply.,Do you plan to take Calculus II?,"If you answered no or maybe, why not?"
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Visual arts,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Biology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Algebra 2 or College Algebra,Philosophy,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,AP Calculus BC or equivalent,Chemistry,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,AP Calculus BC or equivalent,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Other:,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Algebra 2 or College Algebra,Chemistry,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Visual arts,No,I don't think I understand the ideas of Calculus I well enoughto take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",2 or more races,Other:,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Earth and/or space science,No,It is not required for my major / I have toomany other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Medicine/health,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,AP Calculus AB or equivalent,English/communication,No,I don't think I understand the ideas of Calculus I well enoughto take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Computer Science/technology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Modern language,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Chemistry,No,It is not required for my major / I have toomany other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Earth and/or space science,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Philosophy,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Engineering/architecture,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Visual arts,No,"To do well in Calculus II, I would need to spend more timeand effort than I can afford."
"""Cis-gender man (male at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus BC or equivalent,Mathematics,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,AP Calculus BC or equivalent,Computer Science/technology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Law/government,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Medicine/health,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Algebra 2 or College Algebra,Environmental science/studies,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Economics,Yes,n/a - I am taking Calculus II.
